GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,50,7,0,0,15,2,3,2,3,2
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,10,7,0,0,4,2,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,126,7,4,0,31,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,146,7,4,0,33,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,121,7,4,0,28,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,122,7,4,0,30,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,123,7,4,0,30,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,118,7,4,0,30,2,10,2,8,2
spring-boot-skeleton,com.nnk.springboot.service.Impl,CurvepointServiceImpl,24,32,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,RuleNameServiceImpl,23,33,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,BidListServiceImpl,24,33,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,TradeServiceImpl,23,33,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,RatingServiceImpl,23,33,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.service.Impl,UserServiceImpl,23,33,0,0,7,8,2,5,2,5
spring-boot-skeleton,com.nnk.springboot.domain.Validation,PasswordConstraintValidator,87,0,2,0,13,0,4,0,3,0
spring-boot-skeleton,com.nnk.springboot.auth,CustomOAuth2User,24,0,0,0,8,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.auth,CustomOAuth2UserService,9,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,0,103,0,0,0,17,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.security,CustomRequestLoggingInterceptor,18,6,0,0,6,2,2,2,2,2
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetailsService,35,3,2,0,7,1,2,1,1,1
spring-boot-skeleton,com.nnk.springboot.security,WebMvcConfiguration,0,10,0,0,0,3,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.security,CustomUserDetails,37,3,0,0,11,2,8,1,8,1
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,40,31,0,0,17,13,7,6,7,6
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,28,69,0,0,11,29,2,15,2,15
spring-boot-skeleton,com.nnk.springboot.domain,BidList,194,50,0,0,22,13,34,12,34,12
spring-boot-skeleton,com.nnk.springboot.domain,Trade,140,109,0,0,12,25,17,30,17,30
spring-boot-skeleton,com.nnk.springboot.domain,User,58,25,0,0,24,11,9,5,9,5
spring-boot-skeleton,com.nnk.springboot.domain,Role,20,3,0,0,9,2,5,1,5,1
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,39,42,0,0,16,17,6,9,6,9
spring-boot-skeleton,com.nnk.springboot.domain,Provider,24,0,0,0,2,0,1,0,1,0
